ROWNUM,X,Y,FEEDER
22.7769121.9117,22.7769,121.9117,22.7769121.9117
22.7793121.9228,22.7793,121.9228,22.7793121.9228
22.7797121.901,22.7797,121.901,22.7797121.901
22.7732121.9172,22.7732,121.9172,22.7732121.9172
22.7254121.9938,22.7254,121.9938,22.7254121.9938
22.78121.9038,22.78,121.9038,22.78121.9038
22.7365121.9658,22.7365,121.9658,22.7365121.9658
22.7576121.9501,22.7576,121.9501,22.7576121.9501
22.7991121.9764,22.7991,121.9764,22.7991121.9764
22.7991121.9764,22.7991,121.9764,22.7991121.9764
22.7844121.9898,22.7844,121.9898,22.7844121.9898
22.7736122.0091,22.7736,122.0091,22.7736122.0091
22.7736122.0091,22.7736,122.0091,22.7736122.0091
22.7758121.9211,22.7758,121.9211,22.7758121.9211
22.7731121.9217,22.7731,121.9217,22.7731121.9217
22.7738121.923,22.7738,121.923,22.7738121.923
22.7697121.9201,22.7697,121.9201,22.7697121.9201
22.7697121.9201,22.7697,121.9201,22.7697121.9201
22.3727416992188122.389556884766,22.3727417,122.3895569,22.3727416992188122.389556884766
22.7731121.9212,22.7731,121.9212,22.7731121.9212
22.759121.9487,22.759,121.9487,22.759121.9487
22.7779121.935,22.7779,121.935,22.7779121.935
22.7859121.9074,22.7859,121.9074,22.7859121.9074
22.7732121.9356,22.7732,121.9356,22.7732121.9356
22.7837121.924,22.7837,121.924,22.7837121.924
22.7714121.9419,22.7714,121.9419,22.7714121.9419
22.7716121.9388,22.7716,121.9388,22.7716121.9388
22.7608121.9482,22.7608,121.9482,22.7608121.9482
22.7763121.9352,22.7763,121.9352,22.7763121.9352
22.772121.9204,22.772,121.9204,22.772121.9204
22.7809121.9182,22.7809,121.9182,22.7809121.9182
22.7626121.9466,22.7626,121.9466,22.7626121.9466
22.7627121.9496,22.7627,121.9496,22.7627121.9496
22.7627121.9496,22.7627,121.9496,22.7627121.9496
22.949122.632,22.949,122.632,22.949122.632
22.9459122.6569,22.9459,122.6569,22.9459122.6569
22.9752122.6608,22.9752,122.6608,22.9752122.6608
22.9895122.631,22.9895,122.631,22.9895122.631
22.9509122.6587,22.9509,122.6587,22.9509122.6587
22.913122.717,22.913,122.717,22.913122.717
22.9188122.6768,22.9188,122.6768,22.9188122.6768
22.9157122.6798,22.9157,122.6798,22.9157122.6798
22.8931122.7136,22.8931,122.7136,22.8931122.7136
22.749121.9446,22.749,121.9446,22.749121.9446
22.7586121.9421,22.7586,121.9421,22.7586121.9421
22.763121.919,22.763,121.919,22.763121.919
22.765121.9023,22.765,121.9023,22.765121.9023
22.7494121.9344,22.7494,121.9344,22.7494121.9344
22.7701121.9295,22.7701,121.9295,22.7701121.9295
22.7701121.9295,22.7701,121.9295,22.7701121.9295
22.767121.9347,22.767,121.9347,22.767121.9347
22.7703121.9509,22.7703,121.9509,22.7703121.9509
22.8221121.9325,22.8221,121.9325,22.8221121.9325
22.7848121.9102,22.7848,121.9102,22.7848121.9102
22.7979121.9533,22.7979,121.9533,22.7979121.9533
22.8032121.9519,22.8032,121.9519,22.8032121.9519
22.7808121.9124,22.7808,121.9124,22.7808121.9124
22.769121.9524,22.769,121.9524,22.769121.9524
22.7993121.878,22.7993,121.878,22.7993121.878
22.7489121.9375,22.7489,121.9375,22.7489121.9375
22.7616121.9313,22.7616,121.9313,22.7616121.9313
22.7667121.9315,22.7667,121.9315,22.7667121.9315
22.7467121.9475,22.7467,121.9475,22.7467121.9475
22.7611121.9243,22.7611,121.9243,22.7611121.9243
22.7574121.9398,22.7574,121.9398,22.7574121.9398
22.7574121.9398,22.7574,121.9398,22.7574121.9398
22.751121.9294,22.751,121.9294,22.751121.9294
22.7591121.9376,22.7591,121.9376,22.7591121.9376
22.76121.9284,22.76,121.9284,22.76121.9284
22.7488121.9222,22.7488,121.9222,22.7488121.9222
22.7695121.9456,22.7695,121.9456,22.7695121.9456
22.7858121.9094,22.7858,121.9094,22.7858121.9094
22.7504121.9556,22.7504,121.9556,22.7504121.9556
22.7604121.9653,22.7604,121.9653,22.7604121.9653
22.7604121.9653,22.7604,121.9653,22.7604121.9653
22.7518121.9536,22.7518,121.9536,22.7518121.9536
22.7441121.9664,22.7441,121.9664,22.7441121.9664
22.7359121.9857,22.7359,121.9857,22.7359121.9857
22.7536121.9238,22.7536,121.9238,22.7536121.9238
22.7658121.9193,22.7658,121.9193,22.7658121.9193
22.7757121.8952,22.7757,121.8952,22.7757121.8952
22.7792121.8944,22.7792,121.8944,22.7792121.8944
22.7303122.0005,22.7303,122.0005,22.7303122.0005
22.7508121.9355,22.7508,121.9355,22.7508121.9355
22.7745121.9147,22.7745,121.9147,22.7745121.9147
22.7513121.9399,22.7513,121.9399,22.7513121.9399
22.676122.0309,22.676,122.0309,22.676122.0309
22.7504121.9196,22.7504,121.9196,22.7504121.9196
22.7825121.8982,22.7825,121.8982,22.7825121.8982
22.7158122.0184,22.7158,122.0184,22.7158122.0184
22.7442121.971,22.7442,121.971,22.7442121.971
22.7539121.9283,22.7539,121.9283,22.7539121.9283
22.7571121.9126,22.7571,121.9126,22.7571121.9126
22.7394121.9276,22.7394,121.9276,22.7394121.9276
22.7477121.9515,22.7477,121.9515,22.7477121.9515
22.7874121.9514,22.7874,121.9514,22.7874121.9514
22.7654121.9375,22.7654,121.9375,22.7654121.9375
22.756121.9219,22.756,121.9219,22.756121.9219
22.7513121.923,22.7513,121.923,22.7513121.923
22.7564121.9188,22.7564,121.9188,22.7564121.9188
22.6828122.0287,22.6828,122.0287,22.6828122.0287
22.7834121.8814,22.7834,121.8814,22.7834121.8814
22.767121.885,22.767,121.885,22.767121.885
22.647122.0615,22.647,122.0615,22.647122.0615
22.7525121.939,22.7525,121.939,22.7525121.939
22.747121.948,22.747,121.948,22.747121.948
22.6992121.9891,22.6992,121.9891,22.6992121.9891
22.6884122.0055,22.6884,122.0055,22.6884122.0055
22.6937122.0103,22.6937,122.0103,22.6937122.0103
22.7315121.9459,22.7315,121.9459,22.7315121.9459
22.7623121.9369,22.7623,121.9369,22.7623121.9369
22.6788122.016,22.6788,122.016,22.6788122.016
22.7749121.9702,22.7749,121.9702,22.7749121.9702
22.7807121.9596,22.7807,121.9596,22.7807121.9596
22.7771121.9591,22.7771,121.9591,22.7771121.9591
22.7144122.0002,22.7144,122.0002,22.7144122.0002
22.6907122.0234,22.6907,122.0234,22.6907122.0234
22.7623121.9635,22.7623,121.9635,22.7623121.9635
22.7494121.9352,22.7494,121.9352,22.7494121.9352
22.7259121.9718,22.7259,121.9718,22.7259121.9718
22.7671121.9671,22.7671,121.9671,22.7671121.9671
22.7803121.9634,22.7803,121.9634,22.7803121.9634
22.8078121.9876,22.8078,121.9876,22.8078121.9876
22.8105121.9868,22.8105,121.9868,22.8105121.9868
22.7737121.9234,22.7737,121.9234,22.7737121.9234
22.7706121.9711,22.7706,121.9711,22.7706121.9711
22.7744121.97,22.7744,121.97,22.7744121.97
22.7709121.9641,22.7709,121.9641,22.7709121.9641
22.7709121.9641,22.7709,121.9641,22.7709121.9641
22.7642121.966,22.7642,121.966,22.7642121.966
22.772121.9608,22.772,121.9608,22.772121.9608
22.7877122.0024,22.7877,122.0024,22.7877122.0024
22.7877122.0024,22.7877,122.0024,22.7877122.0024
22.7835121.9525,22.7835,121.9525,22.7835121.9525
22.7882122.0101,22.7882,122.0101,22.7882122.0101
22.7882122.0101,22.7882,122.0101,22.7882122.0101
22.7834122.0285,22.7834,122.0285,22.7834122.0285
22.7389121.9651,22.7389,121.9651,22.7389121.9651
22.7378121.9669,22.7378,121.9669,22.7378121.9669
22.7354122.0152,22.7354,122.0152,22.7354122.0152
22.73122.0248,22.73,122.0248,22.73122.0248
22.7904121.9738,22.7904,121.9738,22.7904121.9738
22.7087121.9843,22.7087,121.9843,22.7087121.9843
22.716121.9711,22.716,121.9711,22.716121.9711
22.7211122.0032,22.7211,122.0032,22.7211122.0032
22.6688122.0354,22.6688,122.0354,22.6688122.0354
22.7116121.9857,22.7116,121.9857,22.7116121.9857
22.7481122.0057,22.7481,122.0057,22.7481122.0057
22.7397121.9903,22.7397,121.9903,22.7397121.9903
22.3527488708496122.399841308594,22.35274887,122.3998413,22.3527488708496122.399841308594
22.7433121.9483,22.7433,121.9483,22.7433121.9483
22.7776121.9605,22.7776,121.9605,22.7776121.9605
22.712122.1126,22.712,122.1126,22.712122.1126
22.786121.9539,22.786,121.9539,22.786121.9539
22.7251121.9953,22.7251,121.9953,22.7251121.9953
22.7518121.9967,22.7518,121.9967,22.7518121.9967
22.7833121.9962,22.7833,121.9962,22.7833121.9962
22.754121.9899,22.754,121.9899,22.754121.9899
22.8162121.9815,22.8162,121.9815,22.8162121.9815
22.8102121.9672,22.8102,121.9672,22.8102121.9672
22.7569121.9859,22.7569,121.9859,22.7569121.9859
22.7347122.0036,22.7347,122.0036,22.7347122.0036
22.7266122.0218,22.7266,122.0218,22.7266122.0218
22.7784121.9929,22.7784,121.9929,22.7784121.9929
22.7631122.0221,22.7631,122.0221,22.7631122.0221
22.759122.0235,22.759,122.0235,22.759122.0235
22.8259121.9966,22.8259,121.9966,22.8259121.9966
22.8259121.9966,22.8259,121.9966,22.8259121.9966
22.8549122.0059,22.8549,122.0059,22.8549122.0059
22.8508122.0261,22.8508,122.0261,22.8508122.0261
22.847122.0422,22.847,122.0422,22.847122.0422
22.866122.038,22.866,122.038,22.866122.038
22.8801122.0544,22.8801,122.0544,22.8801122.0544
22.8156122.1562,22.8156,122.1562,22.8156122.1562
22.8357122.096,22.8357,122.096,22.8357122.096
22.7778121.9883,22.7778,121.9883,22.7778121.9883
22.7778121.9883,22.7778,121.9883,22.7778121.9883
22.7708122.0159,22.7708,122.0159,22.7708122.0159
22.7708122.0159,22.7708,122.0159,22.7708122.0159
22.7767122.014,22.7767,122.014,22.7767122.014
22.7984121.9728,22.7984,121.9728,22.7984121.9728
22.7573122.45,22.7573,122.45,22.7573122.45
22.7691122.0117,22.7691,122.0117,22.7691122.0117
22.7691122.0117,22.7691,122.0117,22.7691122.0117
22.7773122.0152,22.7773,122.0152,22.7773122.0152
22.7996121.9959,22.7996,121.9959,22.7996121.9959
22.8025122.0114,22.8025,122.0114,22.8025122.0114
22.7887121.9511,22.7887,121.9511,22.7887121.9511
22.7281122.0259,22.7281,122.0259,22.7281122.0259
22.7269121.9814,22.7269,121.9814,22.7269121.9814
22.7047122.1082,22.7047,122.1082,22.7047122.1082
22.76122.006,22.76,122.006,22.76122.006
22.794121.9968,22.794,121.9968,22.794121.9968
22.7815121.9917,22.7815,121.9917,22.7815121.9917
22.8053121.893,22.8053,121.893,22.8053121.893
22.6777122.0657,22.6777,122.0657,22.6777122.0657
22.7458122.0383,22.7458,122.0383,22.7458122.0383
22.7582122.0264,22.7582,122.0264,22.7582122.0264
22.7778122.0062,22.7778,122.0062,22.7778122.0062
22.7579122.0252,22.7579,122.0252,22.7579122.0252
22.7707122.0072,22.7707,122.0072,22.7707122.0072
22.7592121.9664,22.7592,121.9664,22.7592121.9664
22.7592121.9664,22.7592,121.9664,22.7592121.9664
22.7759121.9677,22.7759,121.9677,22.7759121.9677
22.7759121.9677,22.7759,121.9677,22.7759121.9677
22.7645121.9694,22.7645,121.9694,22.7645121.9694
22.7573121.9837,22.7573,121.9837,22.7573121.9837
22.7392122,22.7392,122,22.7392122
22.7683121.9694,22.7683,121.9694,22.7683121.9694
22.7551122.024,22.7551,122.024,22.7551122.024
22.8143122.0016,22.8143,122.0016,22.8143122.0016
22.8143122.0016,22.8143,122.0016,22.8143122.0016
22.8066121.9804,22.8066,121.9804,22.8066121.9804
22.7874121.9862,22.7874,121.9862,22.7874121.9862
22.8726121.9201,22.8726,121.9201,22.8726121.9201
22.7624122.4373,22.7624,122.4373,22.7624122.4373
22.7291122.4796,22.7291,122.4796,22.7291122.4796
22.7795122.4221,22.7795,122.4221,22.7795122.4221
22.7753122.4133,22.7753,122.4133,22.7753122.4133
22.7988122.4188,22.7988,122.4188,22.7988122.4188
22.7195122.532,22.7195,122.532,22.7195122.532
22.7439122.0507,22.7439,122.0507,22.7439122.0507
22.757122.0259,22.757,122.0259,22.757122.0259
22.7567122.009,22.7567,122.009,22.7567122.009
22.7257121.9618,22.7257,121.9618,22.7257121.9618
22.7213121.9674,22.7213,121.9674,22.7213121.9674
22.7535122.0344,22.7535,122.0344,22.7535122.0344
22.7604122.0212,22.7604,122.0212,22.7604122.0212
22.7557122.0368,22.7557,122.0368,22.7557122.0368
22.7715121.9824,22.7715,121.9824,22.7715121.9824
22.7773121.9717,22.7773,121.9717,22.7773121.9717
22.7136122.0397,22.7136,122.0397,22.7136122.0397
22.7833122.0255,22.7833,122.0255,22.7833122.0255
22.7833122.0255,22.7833,122.0255,22.7833122.0255
22.7015122.0137,22.7015,122.0137,22.7015122.0137
22.752122.0236,22.752,122.0236,22.752122.0236
22.749122.0293,22.749,122.0293,22.749122.0293
22.7266122.0721,22.7266,122.0721,22.7266122.0721
22.7682122.4401,22.7682,122.4401,22.7682122.4401
22.7705122.4367,22.7705,122.4367,22.7705122.4367
22.7901122.4255,22.7901,122.4255,22.7901122.4255
22.7524122.0048,22.7524,122.0048,22.7524122.0048
22.7664122.0062,22.7664,122.0062,22.7664122.0062
22.7664122.0062,22.7664,122.0062,22.7664122.0062
22.7673121.9907,22.7673,121.9907,22.7673121.9907
22.7673121.9892,22.7673,121.9892,22.7673121.9892
22.7585121.9857,22.7585,121.9857,22.7585121.9857
22.7585121.9857,22.7585,121.9857,22.7585121.9857
22.7394121.9955,22.7394,121.9955,22.7394121.9955
22.7767121.9837,22.7767,121.9837,22.7767121.9837
22.7767121.9837,22.7767,121.9837,22.7767121.9837
22.77121.9796,22.77,121.9796,22.77121.9796
22.777121.9403,22.777,121.9403,22.777121.9403
22.8324121.9007,22.8324,121.9007,22.8324121.9007
22.7807121.9681,22.7807,121.9681,22.7807121.9681
22.7779121.966,22.7779,121.966,22.7779121.966
22.7807121.9652,22.7807,121.9652,22.7807121.9652
22.3709011077881122.446823120117,22.37090111,122.4468231,22.3709011077881122.446823120117
22.773122.0026,22.773,122.0026,22.773122.0026
22.8673121.8616,22.8673,121.8616,22.8673121.8616
22.8489121.9319,22.8489,121.9319,22.8489121.9319
22.7962121.9876,22.7962,121.9876,22.7962121.9876
22.8279121.9543,22.8279,121.9543,22.8279121.9543
22.8074121.9601,22.8074,121.9601,22.8074121.9601
22.8119121.9866,22.8119,121.9866,22.8119121.9866
22.7557122.0192,22.7557,122.0192,22.7557122.0192
22.7585122.025,22.7585,122.025,22.7585122.025
22.8481122.1424,22.8481,122.1424,22.8481122.1424
22.8501122.1415,22.8501,122.1415,22.8501122.1415
22.8391122.1309,22.8391,122.1309,22.8391122.1309
22.9346122.0407,22.9346,122.0407,22.9346122.0407
22.7687122.0044,22.7687,122.0044,22.7687122.0044
22.7687122.0044,22.7687,122.0044,22.7687122.0044
22.7666121.9898,22.7666,121.9898,22.7666121.9898
22.7608121.984,22.7608,121.984,22.7608121.984
22.7696121.9844,22.7696,121.9844,22.7696121.9844
22.7694121.9992,22.7694,121.9992,22.7694121.9992
22.7694121.9992,22.7694,121.9992,22.7694121.9992
22.7752121.9959,22.7752,121.9959,22.7752121.9959
22.7577122.4547,22.7577,122.4547,22.7577122.4547
22.7787122.4405,22.7787,122.4405,22.7787122.4405
22.7388122.5019,22.7388,122.5019,22.7388122.5019
22.7662122.0335,22.7662,122.0335,22.7662122.0335
22.7403122.0247,22.7403,122.0247,22.7403122.0247
22.769121.9728,22.769,121.9728,22.769121.9728
22.7648121.9907,22.7648,121.9907,22.7648121.9907
22.7609121.9919,22.7609,121.9919,22.7609121.9919
22.7653121.9678,22.7653,121.9678,22.7653121.9678
22.7717121.9856,22.7717,121.9856,22.7717121.9856
22.8058122.0106,22.8058,122.0106,22.8058122.0106
22.8058122.0106,22.8058,122.0106,22.8058122.0106
22.8146121.9739,22.8146,121.9739,22.8146121.9739
22.73122.0095,22.73,122.0095,22.73122.0095
22.7752122.0079,22.7752,122.0079,22.7752122.0079
22.7752122.0079,22.7752,122.0079,22.7752122.0079
22.7754122.0354,22.7754,122.0354,22.7754122.0354
22.748122.0262,22.748,122.0262,22.748122.0262
22.3681201934814122.483871459961,22.36812019,122.4838715,22.3681201934814122.483871459961
22.7822121.9893,22.7822,121.9893,22.7822121.9893
22.7822121.9893,22.7822,121.9893,22.7822121.9893
22.7725121.9877,22.7725,121.9877,22.7725121.9877
22.7647122.0008,22.7647,122.0008,22.7647122.0008
22.802121.9715,22.802,121.9715,22.802121.9715
22.7733121.992,22.7733,121.992,22.7733121.992
22.7733121.992,22.7733,121.992,22.7733121.992
22.7899122.0211,22.7899,122.0211,22.7899122.0211
22.7821122.0238,22.7821,122.0238,22.7821122.0238
22.7977121.9507,22.7977,121.9507,22.7977121.9507
22.7986121.9504,22.7986,121.9504,22.7986121.9504
22.7692122.0237,22.7692,122.0237,22.7692122.0237
22.7692122.0237,22.7692,122.0237,22.7692122.0237
22.8414121.9898,22.8414,121.9898,22.8414121.9898
22.8414121.9898,22.8414,121.9898,22.8414121.9898
22.8181122.0284,22.8181,122.0284,22.8181122.0284
22.7546122.0419,22.7546,122.0419,22.7546122.0419
22.8312122.056,22.8312,122.056,22.8312122.056
22.8312122.056,22.8312,122.056,22.8312122.056
22.8027122.0138,22.8027,122.0138,22.8027122.0138
22.8027122.0138,22.8027,122.0138,22.8027122.0138
22.7943122.0423,22.7943,122.0423,22.7943122.0423
22.8168121.9723,22.8168,121.9723,22.8168121.9723
22.8549121.9831,22.8549,121.9831,22.8549121.9831
22.7609122.0464,22.7609,122.0464,22.7609122.0464
22.7448121.9961,22.7448,121.9961,22.7448121.9961
22.7942122.0208,22.7942,122.0208,22.7942122.0208
22.8158122.0136,22.8158,122.0136,22.8158122.0136
22.7963122.0535,22.7963,122.0535,22.7963122.0535
22.7955122.0553,22.7955,122.0553,22.7955122.0553
22.7715122.0368,22.7715,122.0368,22.7715122.0368
22.7696122.0405,22.7696,122.0405,22.7696122.0405
22.7786122.0166,22.7786,122.0166,22.7786122.0166
22.7786122.0166,22.7786,122.0166,22.7786122.0166
22.7762122.0296,22.7762,122.0296,22.7762122.0296
22.7782122.029,22.7782,122.029,22.7782122.029
22.8044121.9756,22.8044,121.9756,22.8044121.9756
22.8044121.9756,22.8044,121.9756,22.8044121.9756
22.7769122.023,22.7769,122.023,22.7769122.023
22.7848122.0204,22.7848,122.0204,22.7848122.0204
22.8068121.9849,22.8068,121.9849,22.8068121.9849
22.8175122.0066,22.8175,122.0066,22.8175122.0066
22.8453122.009,22.8453,122.009,22.8453122.009
22.8783122.026,22.8783,122.026,22.8783122.026
22.8783122.026,22.8783,122.026,22.8783122.026
22.7969122.0167,22.7969,122.0167,22.7969122.0167
22.7969122.0167,22.7969,122.0167,22.7969122.0167
22.8093122.0371,22.8093,122.0371,22.8093122.0371
22.8093122.0371,22.8093,122.0371,22.8093122.0371
22.8084122.0375,22.8084,122.0375,22.8084122.0375
22.818122.0567,22.818,122.0567,22.818122.0567
22.8193122.4542,22.8193,122.4542,22.8193122.4542
22.8221122.435,22.8221,122.435,22.8221122.435
22.7958122.4747,22.7958,122.4747,22.7958122.4747
22.8113122.4418,22.8113,122.4418,22.8113122.4418
22.831122.4019,22.831,122.4019,22.831122.4019
22.8208122.4068,22.8208,122.4068,22.8208122.4068
22.8315122.4158,22.8315,122.4158,22.8315122.4158
22.8209121.9961,22.8209,121.9961,22.8209121.9961
22.8209121.9961,22.8209,121.9961,22.8209121.9961
22.8082122.0298,22.8082,122.0298,22.8082122.0298
22.8082122.0298,22.8082,122.0298,22.8082122.0298
22.8009122.0445,22.8009,122.0445,22.8009122.0445
22.812122.045,22.812,122.045,22.812122.045
22.812122.045,22.812,122.045,22.812122.045
22.8047122.4254,22.8047,122.4254,22.8047122.4254
22.8411122.3994,22.8411,122.3994,22.8411122.3994
22.8451122.3839,22.8451,122.3839,22.8451122.3839
22.7853122.0336,22.7853,122.0336,22.7853122.0336
22.7853122.0336,22.7853,122.0336,22.7853122.0336
22.8677122.016,22.8677,122.016,22.8677122.016
22.8605122.0359,22.8605,122.0359,22.8605122.0359
22.8489122.0446,22.8489,122.0446,22.8489122.0446
22.8125122.0581,22.8125,122.0581,22.8125122.0581
22.8921121.9322,22.8921,121.9322,22.8921121.9322
22.8465122.0554,22.8465,122.0554,22.8465122.0554
22.8465122.0554,22.8465,122.0554,22.8465122.0554
22.8173122.0726,22.8173,122.0726,22.8173122.0726
22.855122.0492,22.855,122.0492,22.855122.0492
22.881122.0095,22.881,122.0095,22.881122.0095
22.808122.0845,22.808,122.0845,22.808122.0845
22.808122.0845,22.808,122.0845,22.808122.0845
22.877122.1273,22.877,122.1273,22.877122.1273
22.877122.1273,22.877,122.1273,22.877122.1273
22.8441122.0639,22.8441,122.0639,22.8441122.0639
22.8441122.0639,22.8441,122.0639,22.8441122.0639
22.8829122.259,22.8829,122.259,22.8829122.259
22.8829122.259,22.8829,122.259,22.8829122.259
22.8441122.4161,22.8441,122.4161,22.8441122.4161
22.8264122.4451,22.8264,122.4451,22.8264122.4451
22.8216122.4504,22.8216,122.4504,22.8216122.4504
22.8473122.4193,22.8473,122.4193,22.8473122.4193
22.8394122.4381,22.8394,122.4381,22.8394122.4381
22.8568122.4108,22.8568,122.4108,22.8568122.4108
22.8274122.4485,22.8274,122.4485,22.8274122.4485
22.8219122.0187,22.8219,122.0187,22.8219122.0187
22.8219122.0187,22.8219,122.0187,22.8219122.0187
22.8239122.0269,22.8239,122.0269,22.8239122.0269
22.812122.4466,22.812,122.4466,22.812122.4466
22.903122.0262,22.903,122.0262,22.903122.0262
22.9006122.0341,22.9006,122.0341,22.9006122.0341
22.8335122.4144,22.8335,122.4144,22.8335122.4144
22.8387122.3942,22.8387,122.3942,22.8387122.3942
22.794122.0155,22.794,122.0155,22.794122.0155
22.794122.0155,22.794,122.0155,22.794122.0155
22.8125122.4631,22.8125,122.4631,22.8125122.4631
22.8301121.9973,22.8301,121.9973,22.8301121.9973
22.8301121.9973,22.8301,121.9973,22.8301121.9973
22.7943122.0414,22.7943,122.0414,22.7943122.0414
22.803122.0383,22.803,122.0383,22.803122.0383
22.7954122.0571,22.7954,122.0571,22.7954122.0571
22.7954122.0571,22.7954,122.0571,22.7954122.0571
22.7967122.0505,22.7967,122.0505,22.7967122.0505
22.8414122.062,22.8414,122.062,22.8414122.062
22.8388122.069,22.8388,122.069,22.8388122.069
22.4084644317627122.513565063477,22.40846443,122.5135651,22.4084644317627122.513565063477
22.8167122.0578,22.8167,122.0578,22.8167122.0578
22.832122.0209,22.832,122.0209,22.832122.0209
22.8153122.4197,22.8153,122.4197,22.8153122.4197
22.8279122.4615,22.8279,122.4615,22.8279122.4615
22.785122.0141,22.785,122.0141,22.785122.0141
22.785122.0141,22.785,122.0141,22.785122.0141
22.8024122.0114,22.8024,122.0114,22.8024122.0114
22.7974122.0221,22.7974,122.0221,22.7974122.0221
22.7836121.9971,22.7836,121.9971,22.7836121.9971
22.7836121.9971,22.7836,121.9971,22.7836121.9971
22.7224122.1562,22.7224,122.1562,22.7224122.1562
22.7642122.0623,22.7642,122.0623,22.7642122.0623
22.4024868011475122.576103210449,22.4024868,122.5761032,22.4024868011475122.576103210449
22.7675122.0505,22.7675,122.0505,22.7675122.0505
22.8172121.931,22.8172,121.931,22.8172121.931
22.7832121.9888,22.7832,121.9888,22.7832121.9888
22.7832121.9888,22.7832,121.9888,22.7832121.9888
22.781122.0089,22.781,122.0089,22.781122.0089
22.781122.0089,22.781,122.0089,22.781122.0089
22.7655122.0117,22.7655,122.0117,22.7655122.0117
22.7655122.0117,22.7655,122.0117,22.7655122.0117
22.7604122.0376,22.7604,122.0376,22.7604122.0376
22.8313122.0178,22.8313,122.0178,22.8313122.0178
22.8313122.0178,22.8313,122.0178,22.8313122.0178
22.8779122.2074,22.8779,122.2074,22.8779122.2074
22.7762122.0789,22.7762,122.0789,22.7762122.0789
22.773122.0272,22.773,122.0272,22.773122.0272
22.784122.0053,22.784,122.0053,22.784122.0053
22.7692122.047,22.7692,122.047,22.7692122.047
22.817121.988,22.817,121.988,22.817121.988
22.8193121.9829,22.8193,121.9829,22.8193121.9829
22.7728122.5378,22.7728,122.5378,22.7728122.5378
22.7469122.5118,22.7469,122.5118,22.7469122.5118
22.6923122.5989,22.6923,122.5989,22.6923122.5989
22.7454122.524,22.7454,122.524,22.7454122.524
22.7714122.6028,22.7714,122.6028,22.7714122.6028
22.7561122.5966,22.7561,122.5966,22.7561122.5966
22.7561122.5966,22.7561,122.5966,22.7561122.5966
22.7582122.014,22.7582,122.014,22.7582122.014
22.8001122.0221,22.8001,122.0221,22.8001122.0221
22.8001122.0221,22.8001,122.0221,22.8001122.0221
22.7486122.0742,22.7486,122.0742,22.7486122.0742
22.7605122.0555,22.7605,122.0555,22.7605122.0555
22.8263121.7408,22.8263,121.7408,22.8263121.7408
22.7965122.0325,22.7965,122.0325,22.7965122.0325
22.7965122.0325,22.7965,122.0325,22.7965122.0325
22.7958122.0358,22.7958,122.0358,22.7958122.0358
22.7849122.0012,22.7849,122.0012,22.7849122.0012
22.7849122.0012,22.7849,122.0012,22.7849122.0012
22.8734121.8639,22.8734,121.8639,22.8734121.8639
22.7881122.0476,22.7881,122.0476,22.7881122.0476
22.7881122.0476,22.7881,122.0476,22.7881122.0476
22.7904122.0499,22.7904,122.0499,22.7904122.0499
22.7886122.0306,22.7886,122.0306,22.7886122.0306
22.7813122.0408,22.7813,122.0408,22.7813122.0408
22.7836122.0298,22.7836,122.0298,22.7836122.0298
22.7836122.0298,22.7836,122.0298,22.7836122.0298
22.7926122.0555,22.7926,122.0555,22.7926122.0555
22.7926122.0555,22.7926,122.0555,22.7926122.0555
22.7991122.0577,22.7991,122.0577,22.7991122.0577
22.8083122.0331,22.8083,122.0331,22.8083122.0331
22.812122.0394,22.812,122.0394,22.812122.0394
22.8073122.0501,22.8073,122.0501,22.8073122.0501
22.8016122.069,22.8016,122.069,22.8016122.069
22.7857122.0688,22.7857,122.0688,22.7857122.0688
22.7998122.0636,22.7998,122.0636,22.7998122.0636
22.7883122.0725,22.7883,122.0725,22.7883122.0725
22.7525122.2153,22.7525,122.2153,22.7525122.2153
22.8038122.4823,22.8038,122.4823,22.8038122.4823
22.8107122.4832,22.8107,122.4832,22.8107122.4832
22.7989122.514,22.7989,122.514,22.7989122.514
22.802122.0279,22.802,122.0279,22.802122.0279
22.802122.0279,22.802,122.0279,22.802122.0279
22.7753122.1472,22.7753,122.1472,22.7753122.1472
22.8155122.1094,22.8155,122.1094,22.8155122.1094
22.8296122.0731,22.8296,122.0731,22.8296122.0731
22.8229122.1277,22.8229,122.1277,22.8229122.1277
22.8238122.1262,22.8238,122.1262,22.8238122.1262
22.7881122.0501,22.7881,122.0501,22.7881122.0501
22.7881122.0501,22.7881,122.0501,22.7881122.0501
22.7658122.0738,22.7658,122.0738,22.7658122.0738
22.7496122.1027,22.7496,122.1027,22.7496122.1027
22.8962122.0154,22.8962,122.0154,22.8962122.0154
22.8896122.0362,22.8896,122.0362,22.8896122.0362
22.7685122.046,22.7685,122.046,22.7685122.046
22.8482122.147,22.8482,122.147,22.8482122.147
22.8216121.995,22.8216,121.995,22.8216121.995
22.8216121.995,22.8216,121.995,22.8216121.995
22.8132122.0637,22.8132,122.0637,22.8132122.0637
22.8538122.0157,22.8538,122.0157,22.8538122.0157
22.8538122.0157,22.8538,122.0157,22.8538122.0157
22.7941122.0936,22.7941,122.0936,22.7941122.0936
22.8527121.9963,22.8527,121.9963,22.8527121.9963
22.8568122.06,22.8568,122.06,22.8568122.06
22.861122.0481,22.861,122.0481,22.861122.0481
22.8219122.072,22.8219,122.072,22.8219122.072
