ROWNUM,X,Y,FEEDER
24.6991121.9511,24.6991,121.9511,24.6991121.9511
24.7055121.9404,24.7055,121.9404,24.7055121.9404
24.6986121.9631,24.6986,121.9631,24.6986121.9631
24.6021121.9069,24.6021,121.9069,24.6021121.9069
24.6021121.9069,24.6021,121.9069,24.6021121.9069
24.6047121.903,24.6047,121.903,24.6047121.903
24.5949121.9463,24.5949,121.9463,24.5949121.9463
24.5928121.9487,24.5928,121.9487,24.5928121.9487
24.599121.8972,24.599,121.8972,24.599121.8972
24.5872121.8918,24.5872,121.8918,24.5872121.8918
24.6013121.9015,24.6013,121.9015,24.6013121.9015
24.5974121.9056,24.5974,121.9056,24.5974121.9056
24.581121.9071,24.581,121.9071,24.581121.9071
24.5947121.9054,24.5947,121.9054,24.5947121.9054
24.5859121.9012,24.5859,121.9012,24.5859121.9012
24.4781121.8541,24.4781,121.8541,24.4781121.8541
24.5355121.8588,24.5355,121.8588,24.5355121.8588
24.5178121.8738,24.5178,121.8738,24.5178121.8738
25.751122.4862,25.751,122.4862,25.751122.4862
25.5585122.3542,25.5585,122.3542,25.5585122.3542
24.6209121.9419,24.6209,121.9419,24.6209121.9419
24.6209121.9419,24.6209,121.9419,24.6209121.9419
24.6037121.9546,24.6037,121.9546,24.6037121.9546
24.6127121.944,24.6127,121.944,24.6127121.944
24.607121.9555,24.607,121.9555,24.607121.9555
24.6024121.9949,24.6024,121.9949,24.6024121.9949
24.6273121.9638,24.6273,121.9638,24.6273121.9638
24.6231121.9616,24.6231,121.9616,24.6231121.9616
24.5848121.9674,24.5848,121.9674,24.5848121.9674
24.5848121.9674,24.5848,121.9674,24.5848121.9674
24.6228121.932,24.6228,121.932,24.6228121.932
24.6336121.9183,24.6336,121.9183,24.6336121.9183
24.6287121.916,24.6287,121.916,24.6287121.916
24.8829122.0598,24.8829,122.0598,24.8829122.0598
24.8893122.0389,24.8893,122.0389,24.8893122.0389
24.6411121.939,24.6411,121.939,24.6411121.939
24.6411121.939,24.6411,121.939,24.6411121.939
24.6462121.9329,24.6462,121.9329,24.6462121.9329
24.6462121.9329,24.6462,121.9329,24.6462121.9329
24.6049121.9184,24.6049,121.9184,24.6049121.9184
24.6171121.9243,24.6171,121.9243,24.6171121.9243
24.619121.9432,24.619,121.9432,24.619121.9432
24.6585121.923,24.6585,121.923,24.6585121.923
24.6585121.923,24.6585,121.923,24.6585121.923
24.5357121.8721,24.5357,121.8721,24.5357121.8721
24.5369121.8711,24.5369,121.8711,24.5369121.8711
24.5226121.8562,24.5226,121.8562,24.5226121.8562
