經度緯度,電流強度(kA)0
22.8629120.5022,-0
22.3408120.6365,-0
22.5434120.6117,-0
22.6728420257568120.562828063965,-7.12250
22.7055120.5208,-0
25.3980922698975119.220840454102,-14.48550
25.1296443939209118.316360473633,-47.9150
22.8085120.4822,-0
22.7659120.4736,-0
22.4101120.631,-0
22.7496120.5382,-0
22.7871120.493,-0
22.7785120.5092,-0
22.8162120.4937,-0
22.7723120.5412,-0
22.7826120.5005,-0
22.7328120.5089,-0
22.5726051330566120.544425964355,5.08750
25.0705261230469118.342750549316,-15.96550
22.7071120.4662,-0
22.3753120.6165,-0
25.0642433166504118.286155700684,-13.0610
22.3615120.6242,-0
25.0306167602539118.438789367676,-12.9130
25.0648937225342118.322219848633,-23.4580
22.3893120.617,-0
22.7127120.4993,-0
25.0619297027588118.261421203613,-24.80850
25.0578384399414118.309494018555,-24.050
25.0724754333496118.32984161377,-13.19050
24.9639110565186118.289886474609,-12.96850
24.9948654174805118.261322021484,-11.89550
25.0190277099609118.321281433105,12.48750
22.7557120.4679,-0
22.7283120.4601,-0
24.646120.3999,-0
24.9146308898926118.33317565918,-12.04350
22.6924120.4992,-0
25.0318851470947118.291213989258,-21.18250
22.7022120.469,-0
24.9925842285156118.343627929688,-15.04050
24.9936485290527118.341590881348,-13.41250
25.0409259796143118.411094665527,-14.2820
22.6122150421143120.487060546875,5.67950
25.4707050323486118.737266540527,-16.2060
24.7878608703613121.516479492188,-5.75350
24.8921121.6092,-0
25.4666004180908118.713554382324,-23.92050
24.8456121.6158,-0
25.1345122.1741,-0
25.1006122.0958,-0
24.912121.6243,-0
25.0811121.9999,-0
25.1195122.0324,-0
25.1877122.0767,-0
24.8679121.6547,-0
24.8687121.6404,-0
25.0739122.0609,-0
24.8948121.6288,-0
24.8839121.6143,-0
25.0592122.0808,-0
25.0022121.888,-0
24.8768121.5951,-0
24.8852121.6424,-0
24.8968121.617,-0
24.8555121.6158,-0
24.89121.6341,-0
24.886121.6415,-0
24.8954121.6326,-0
24.8913121.6178,-0
24.8799381256104121.731117248535,-8.67650
24.8773121.621,-0
25.0534122.0166,-0
24.7938121.8278,-0
24.8859121.608,-0
24.8785121.6291,-0
24.8776121.6157,-0
24.9139121.6028,-0
24.8931121.6034,-0
24.8876121.634,-0
24.8994121.592,-0
25.1689122.228,-0
24.9561121.5947,-0
25.125122.066,-0
24.898121.6011,-0
25.0641122.0378,-0
25.1207122.1095,-0
24.8598121.6363,-0
24.8574121.6494,-0
24.8528121.6069,-0
24.9137121.6051,-0
24.9017121.6214,-0
25.0967122.0901,-0
25.2175122.3385,-0
24.8925121.6179,-0
24.8665121.6506,-0
24.8523121.6742,-0
24.8653121.6509,-0
24.8629121.6319,-0
24.8867121.6483,-0
25.1719122.1169,-0
25.0592122.0483,-0
24.878121.6339,-0
24.8673121.6302,-0
24.8793121.6317,-0
24.9831121.9251,-0
24.8559121.6595,-0
25.0547122.0375,-0
25.0434122.0236,-0
24.9306121.6123,-0
24.8831121.6305,-0
24.8887121.6149,-0
25.1536122.1006,-0
24.8995121.6074,-0
25.0096121.9579,-0
25.0651122.1188,-0
25.012122.0034,-0
25.0485122.0497,-0
24.8664121.6199,-0
24.868121.6369,-0
24.8718121.6571,-0
25.0718122.0558,-0
24.8803121.6391,-0
24.8856121.6181,-0
24.8756121.6507,-0
24.8926121.6278,-0
24.8921121.5992,-0
24.8997121.6161,-0
24.9399121.899,-0
24.9888121.9566,-0
24.9661121.8976,-0
24.911121.8312,-0
25.0595122.0171,-0
25.1063122.1007,-0
24.8477121.6076,-0
24.8736121.6447,-0
24.8668121.6336,-0
24.86121.6519,-0
24.8526916503906121.81396484375,5.45750
24.8708121.6651,-0
24.8975121.6133,-0
24.9122121.6181,-0
24.9065121.6176,-0
24.9041121.6281,-0
25.0036121.8798,-0
24.8982121.6366,-0
24.9037121.6379,-0
24.8635121.666,-0
24.8567121.6512,-0
24.8931121.6442,-0
24.8729121.6781,-0
24.875121.6604,-0
24.8357121.7118,-0
24.8196121.6798,-0
24.8473121.7234,-0
24.8367121.7378,-0
24.9234121.9664,-0
24.9258121.8969,-0
24.8788121.635,-0
24.8851121.6504,-0
24.8829121.6183,-0
24.9883121.9297,-0
24.8679121.6256,-0
24.8598121.6196,-0
25.0013121.913,-0
24.8804121.6307,-0
25.061122.024,-0
25.0831122.0423,-0
24.6944121.9076,-0
24.6748121.8713,-0
24.6941121.8784,-0
25.1396122.0966,-0
24.969121.8353,-0
24.8628121.6256,-0
25.0311121.9356,-0
24.8294121.6548,-0
24.8352121.6723,-0
24.8661121.6827,-0
24.8953121.6216,-0
24.879121.636,-0
24.6733121.9254,-0
